Timestamp,CPU_Usage(%),Memory_Usage(%),Disk_Usage(%),RX_KB/s,TX_KB/s
Wed Feb  4 07:59:19 PM +0530 2026,12,42.45,23,5,3
Wed Feb  4 07:59:26 PM +0530 2026,100,42.53,23,2,2
Wed Feb  4 07:59:33 PM +0530 2026,11.1,29.09,23,0,0
Wed Feb  4 07:59:39 PM +0530 2026,100,29.09,23,0,0
Wed Feb  4 07:59:45 PM +0530 2026,27.8,23.83,23,0,0
Wed Feb  4 07:59:52 PM +0530 2026,50,35.73,23,143,45
Wed Feb  4 07:59:58 PM +0530 2026,4.5,37.50,23,4,0
Wed Feb  4 08:00:05 PM +0530 2026,100,37.51,23,0,0
Wed Feb  4 08:00:12 PM +0530 2026,3.6,23.27,23,0,0
Wed Feb  4 08:00:20 PM +0530 2026,0.9,23.18,23,3,4
Wed Feb  4 08:00:25 PM +0530 2026,4.6,23.29,23,0,0
Wed Feb  4 08:00:26 PM +0530 2026,100,23.35,23,219,4
Wed Feb  4 08:00:31 PM +0530 2026,83.3,35.35,23,48,25
Wed Feb  4 08:00:32 PM +0530 2026,88.2,24.73,23,19,1
Wed Feb  4 08:00:38 PM +0530 2026,23.8,23.63,23,0,0
Wed Feb  4 08:00:39 PM +0530 2026,3.7,23.63,23,0,0
Wed Feb  4 08:00:45 PM +0530 2026,100,23.63,23,0,0
Wed Feb  4 08:00:46 PM +0530 2026,100,23.21,23,0,0
Wed Feb  4 08:00:51 PM +0530 2026,100,23.23,23,2,2
Wed Feb  4 08:00:52 PM +0530 2026,19.4,23.23,23,3,4
Wed Feb  4 08:00:58 PM +0530 2026,2.2,23.25,23,0,0
Wed Feb  4 08:00:59 PM +0530 2026,21.1,23.25,23,0,0
Wed Feb  4 08:01:05 PM +0530 2026,0.8,23.27,23,0,0
Wed Feb  4 08:01:06 PM +0530 2026,2.7,23.27,23,0,0
Wed Feb  4 08:01:12 PM +0530 2026,100,23.27,23,0,0
Wed Feb  4 08:01:13 PM +0530 2026,,23.31,23,0,1
Wed Feb  4 08:01:18 PM +0530 2026,4.9,23.31,23,0,1
Wed Feb  4 08:01:20 PM +0530 2026,4.8,23.36,23,4,4
Wed Feb  4 08:01:25 PM +0530 2026,10.5,23.39,23,0,0
Wed Feb  4 08:01:26 PM +0530 2026,100,23.42,23,0,0
Wed Feb  4 08:01:31 PM +0530 2026,100,23.45,23,0,0
Wed Feb  4 08:01:32 PM +0530 2026,4.5,23.45,23,1,1
Wed Feb  4 08:01:38 PM +0530 2026,100,23.45,23,0,0
Wed Feb  4 08:01:39 PM +0530 2026,100,23.45,23,1,1
Wed Feb  4 08:01:45 PM +0530 2026,1.9,23.45,23,0,0
Wed Feb  4 08:01:46 PM +0530 2026,10,23.45,23,0,0
Wed Feb  4 08:01:51 PM +0530 2026,100,23.47,23,0,0
Wed Feb  4 08:01:53 PM +0530 2026,26.3,23.47,23,0,0
Wed Feb  4 08:01:58 PM +0530 2026,100,23.49,23,0,0
Wed Feb  4 08:01:59 PM +0530 2026,,23.49,23,0,1
Wed Feb  4 08:02:05 PM +0530 2026,4.2,23.53,23,0,0
Wed Feb  4 08:02:07 PM +0530 2026,12.5,23.53,23,0,0
Wed Feb  4 08:02:11 PM +0530 2026,18.5,23.53,23,0,0
Wed Feb  4 08:02:13 PM +0530 2026,13.6,23.53,23,0,1
Wed Feb  4 08:02:18 PM +0530 2026,100,23.54,23,0,0
Wed Feb  4 08:02:19 PM +0530 2026,,23.54,23,0,1
Wed Feb  4 08:02:25 PM +0530 2026,4.2,23.54,23,0,0
Wed Feb  4 08:02:26 PM +0530 2026,15.8,23.56,23,0,0
Wed Feb  4 08:02:33 PM +0530 2026,100,23.56,23,0,0
Wed Feb  4 08:02:33 PM +0530 2026,4.4,23.56,23,0,1
Wed Feb  4 08:02:40 PM +0530 2026,4.3,23.59,23,0,0
Wed Feb  4 08:02:40 PM +0530 2026,19,23.59,23,0,0
Wed Feb  4 08:02:46 PM +0530 2026,2,23.60,23,0,0
Wed Feb  4 08:02:46 PM +0530 2026,1.9,23.61,23,0,0
Wed Feb  4 08:02:53 PM +0530 2026,3.8,23.47,23,0,0
Wed Feb  4 08:02:53 PM +0530 2026,4.8,23.47,23,0,0
Wed Feb  4 08:02:59 PM +0530 2026,9.5,23.47,23,0,0
Wed Feb  4 08:02:59 PM +0530 2026,100,23.47,23,0,0
Wed Feb  4 08:03:07 PM +0530 2026,3.1,23.50,23,1,1
Wed Feb  4 08:03:07 PM +0530 2026,45,23.50,23,1,1
